company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
Stova,stova.io,https://www.linkedin.com/company/stova,New York,United States,201,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
The UK Careers Fair,ukcareersfair.com,https://www.linkedin.com/company/ukcareersfair,Bracknell,United Kingdom,16,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
IMPACT BBDO,impactbbdo.com,https://www.linkedin.com/company/impact-bbdo,United States,United States,555,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
TYPE01,type-01.com,https://www.linkedin.com/company/type01,Surrey,United Kingdom,20,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Scholz & Friends,s-f.com,https://www.linkedin.com/company/scholz-&-friends,Hamburg,Germany,1042,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
City Lifestyle,linktr.ee,https://www.linkedin.com/company/citylifestyle,Kansas City,United States,530,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Kreab España,kreab.com,https://www.linkedin.com/company/kreab-espana,Madrid,Spain,174,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Making Science,makingscience.com,https://www.linkedin.com/company/making-science,Madrid,Spain,981,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
How&How,how.studio,https://www.linkedin.com/company/howandhow,Shoreditch,United Kingdom,71,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
The Clios,clios.com,https://www.linkedin.com/company/the-clios,New York,United States,77,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
MullenLowe UK,mullenlowe.co.uk,https://www.linkedin.com/company/mullenlowe-uk,London,United Kingdom,207,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
DeSimone Consulting Engineering,de-simone.com,https://www.linkedin.com/company/desimone-consulting-engineering,New York,United States,699,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Heystudio,heystudio.es,https://www.linkedin.com/company/heystudio,Barcelona,Spain,23,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Graphic Design,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
MarketSource Inc.,marketsource.com,https://www.linkedin.com/company/marketsource-inc,Alpharetta,United States,4815,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Publicis Communications,publicisgroupe.com,https://www.linkedin.com/company/publiciscommunications,Paris,France,89,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Large global holding-company network (10,001+ employees) -- included per user's explicit decision."
Team GaryVee,vaynermedia.com,https://www.linkedin.com/company/teamgaryvee,New York,United States,33,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Leo,leo-constellation.com,https://www.linkedin.com/company/publicis-worldwide,Global,United States,358,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Large global holding-company network (10,001+ employees) -- included per user's explicit decision."
beon. Worldwide,beonworldwide.com,https://www.linkedin.com/company/beon-world-wide,Madrid,Spain,217,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
NewsCred (now Optimizely CMP),optimizely.com,https://www.linkedin.com/company/newscred,New York,United States,48,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Agence Babel,agencebabel.com,https://www.linkedin.com/company/agence-babel,Paris,France,119,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Asociación de Marketing de España - Asociación MKT,asociacionmkt.es,https://www.linkedin.com/company/asociacion-de-marketing-de-espana-amkt,Madrid,Spain,100,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Global Tourism Forum,globaltourismforum.org,https://www.linkedin.com/company/globaltourismforum,London,United Kingdom,19,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
egg,egg-events.com,https://www.linkedin.com/company/egg-events,Paris,France,433,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Billion Dollar Boy,billiondollarboy.com,https://www.linkedin.com/company/billion-dollar-boy,London,United Kingdom,198,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Born Social,bornsocial.com,https://www.linkedin.com/company/born-social,London,United Kingdom,198,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Oktra,oktra.co.uk,https://www.linkedin.com/company/oktra,London,United Kingdom,285,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Kimia Group,kimiagroup.com,https://www.linkedin.com/company/kimiagroup,Madrid,Spain,69,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Seingim,seingim.it,https://www.linkedin.com/company/seingim,Ceggia,Italy,478,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Wieden+Kennedy London,wklondon.com,https://www.linkedin.com/company/wieden-kennedy-london,London,United Kingdom,39,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Schawk!,schawk.com,https://www.linkedin.com/company/schawkdeactivate,Des Plaines,United States,1800,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Sky Media UK,skymedia.co.uk,https://www.linkedin.com/company/sky-media-uk,London / Manchester  / Dublin / Cardiff / Nationwide,United Kingdom,243,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Tigers,tigers.pl,https://www.linkedin.com/company/tigerspl,Warszawa,Poland,123,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Smart Insights,smartinsights.com,https://www.linkedin.com/company/smart-insights-marketing-intelligence-limited,Leeds,United Kingdom,15,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Agencia Kitchen,kitchen.es,https://www.linkedin.com/company/agenciakitchen,Madrid,Spain,94,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Datawords,datawords.com,https://www.linkedin.com/company/datawords,Levallois-perret,France,947,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Volta Media,voltacharging.com,https://www.linkedin.com/company/voltamedianetwork,Los Angeles,United States,91,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Studio Piet Boon,pietboon.com,https://www.linkedin.com/company/piet-boon-,Oostzaan,Netherlands,97,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
GOAT & Partners Ltd,goatinteractive.co,https://www.linkedin.com/company/goatpartnersltd,London,United Kingdom,87,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
S2W Media,s2wmedia.com,https://www.linkedin.com/company/s2wmedia,New York,United States,616,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
BBDO Chicago,energybbdo.com,https://www.linkedin.com/company/bbdo-chicago,Chicago,United States,311,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
OnConferences,onconferences.com,https://www.linkedin.com/company/onconferences,Daytona Beach,United States,69,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
"Continuum Clinical, A Spectrum Science Company",continuumclinical.com,https://www.linkedin.com/company/continuum-clinical,Washington,United States,78,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
MuteSix,mutesix.com,https://www.linkedin.com/company/mutesix,Culver City,United States,33,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Spark44,google.com,https://www.linkedin.com/company/spark44,London,United Kingdom,147,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
2x4,2x4.org,https://www.linkedin.com/company/2x4,,United States,135,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
PropellerAds,propellerads.com,https://www.linkedin.com/company/propeller-ads-media,,Cyprus,176,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Posterscope,posterscope.com,https://www.linkedin.com/company/posterscope,,United Kingdom,290,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
FMG Suite,fmgsuite.com,https://www.linkedin.com/company/fmg-suite,San Diego,United States,712,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Financial Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
DashClicks,dashclicks.com,https://www.linkedin.com/company/dashclicks,Fort Lauderdale,United States,50,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Cheil Italy,cheil.com,https://www.linkedin.com/company/cheilitalia,Milano,Italy,90,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
LOBA,loba.com,https://www.linkedin.com/company/lobabx,Oliveira de Azeméis,Portugal,187,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Jitter,jitter.video,https://www.linkedin.com/company/jittervideo,Paris,France,32,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
GP Explorer,instagram.com,https://www.linkedin.com/company/gp-explorer,Paris,France,14,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
LUCIEN PAGES COMMUNICATION,lucienpages.com,https://www.linkedin.com/company/lucien-pages-communication,Paris,France,84,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Weezevent,weezevent.com,https://www.linkedin.com/company/weezevent,Clichy,France,256,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Verve The Live Agency | B Corp,verveliveagency.com,https://www.linkedin.com/company/verveliveagency,Dublin,Ireland,282,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
