company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
"Acadia Technologies, Inc",https://www.acadiatechnologies.com,https://www.linkedin.com/company/acadia-technologies-inc-,Duluth,US,68,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Accel Temporary Services,https://www.acceltemps.com,https://www.linkedin.com/company/accel-temporary-services,Washington Court House,US,11,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Accesspoint,https://www.apteam.com,https://www.linkedin.com/company/accesspoint,Farmington Hills,US,167,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Access Therapies, Inc",https://www.accesstherapies.com,https://www.linkedin.com/company/accesstherapies,Indianapolis,US,53,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Accord Federal Services,https://www.accordfederal.com,https://www.linkedin.com/company/accord-federal-services,Knoxville,US,27,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Accounting Now,https://www.accountingnow.com,https://www.linkedin.com/company/accounting-now,Jacksonville,US,40,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
AccuForce HR Solutions,https://www.accuforce.com,https://www.linkedin.com/company/accuforce,Kingsport,US,65,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Accupay Hcm,https://www.accupayhcm.com,https://www.linkedin.com/company/accupay-hcm,St. Louis,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Accurate Healthcare Professionals,https://www.accuratehealthcareprofessionals.com,https://www.linkedin.com/company/accurate-healthcare-professionals,Louisville,US,53,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Accurate Logistics,https://www.accuratelogistics.net,https://www.linkedin.com/company/accurate-logistics,Richmond,US,112,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Ace Personnel,https://www.acepersonnel.com,https://www.linkedin.com/company/ace-personnel,Mission,US,39,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Ace Technologies,https://acetechnologies.com,https://www.linkedin.com/company/acetechnologies,San Jose,US,296,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
AchieveAbilities LLC,https://www.achieveabilities.net,https://www.linkedin.com/company/achieve-abilities-llc,Monona,US,23,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"The ACI Group, Inc.",https://www.aci.com,https://www.linkedin.com/company/acigroup,Towson,US,49,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Aclat Inc,https://www.aclatinc.com,https://www.linkedin.com/company/aclat-inc,Arlington Heights,US,48,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Acrux Staffing,https://www.acruxstaffing.com,https://www.linkedin.com/company/acrux-staffing,North Charleston,US,92,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Act Personnel Service, Inc",https://www.actpersonnel.com,https://www.linkedin.com/company/act-personnel-service-inc.,Cumberland,US,17,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Action Logistix,https://www.actionlogistix.com,https://www.linkedin.com/company/action-logistix,Bridgeton,US,26,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Action Technology,https://www.action-tech.com,https://www.linkedin.com/company/actiontechnology,Chesterfield,US,38,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Adams Cg,https://adams-cg.com,https://www.linkedin.com/company/adams-cg-inc,Fletcher,US,23,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Executive Search Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Adams, Evens, & Ross",https://www.staffingdebt.com,https://www.linkedin.com/company/adams-evens-&-ross---an-inc-500-company,Canton,US,24,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Adams Larocca,https://www.adamslarocca.com,https://www.linkedin.com/company/adams-larocca,Fort Lauderdale,US,13,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Adapt Staffing Agency,https://adaptstaffingagency.com,https://www.linkedin.com/company/adapt-staffing-agency,Richmond,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Add Staff, Inc",https://www.addstaffinc.com,https://www.linkedin.com/company/add-staff-inc-,Colorado Springs,US,47,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Adecco Medical,https://www.adecco.fr/medical,https://www.linkedin.com/company/adeccomedical,Villeurbanne,FR,1893,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Adept Solutions Inc,https://adeptsolutionsinc.com,https://www.linkedin.com/company/adeptsolutioninc,Irving,US,36,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Adex Healthcare Staffing, Llc",https://www.adextravelnursing.com,https://www.linkedin.com/company/adex-healtcare-staffing-llc,Temple Terrace,US,80,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Admiral Staffing Inc,https://admiralstaffinginc.com,https://www.linkedin.com/company/admiral-staffing-inc-,New York,US,30,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Adnet Accountnet Inc,https://www.adnetp3.com,https://www.linkedin.com/company/adnet-accountnet-inc-,Baltimore,US,41,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Adonai Employment, Inc",https://www.adonai-employment.org,https://www.linkedin.com/company/adonai-employment-inc.,Milwaukee,US,13,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Advance Search,https://www.advancesearch.com,https://www.linkedin.com/company/advance-search,Deerfield,US,11,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Advance Service Company Inc,https://www.advanceservices.com,https://www.linkedin.com/company/advance-service-company-inc,La Vista,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
The Advance Group Staffing,https://www.theadvancegroupjobs.com,https://www.linkedin.com/company/advance-staffing-solutions,Sylvania,US,62,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Advanced Employment Services, Inc",https://advancedemployment.com,https://www.linkedin.com/company/advanced-employment-services,San Francisco,US,38,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Advanced Staffing Inc ®,https://www.advancedstaffinginc.com,https://www.linkedin.com/company/advanced-staffing-inc-,Beaumont,US,23,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Advantage Resource Group,https://www.theadvantages.com,https://www.linkedin.com/company/advantage-resource-group,Altoona,US,34,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Advantage Rn,https://www.advantagern.com,https://www.linkedin.com/company/advantage-rn,West Chester,US,217,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Advantage Staffing,https://www.astaff.com,https://www.linkedin.com/company/advantage-staffing_2,Birmingham,US,225,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Advantastaff,https://www.advantastaff.com,https://www.linkedin.com/company/advantastaff-inc,Chester,US,33,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Advastar, Inc.  |  Recruiting & Staffing",https://www.advastargroup.com,https://www.linkedin.com/company/advastar,Leawood,US,23,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Aequor Healthcare Services,https://www.aequor.com,https://www.linkedin.com/company/aequor-healthcare,Piscataway,US,176,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Aetea Information Technology,https://www.aetea.com,https://www.linkedin.com/company/aetea-information-technology,Blue Bell,US,62,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Ahs Pharmstat,https://www.ahspharmstat.com,https://www.linkedin.com/company/ahs-pharmstat,Edmond,US,151,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Aid & Assist At Home, Inc",https://www.assistathome.net,https://www.linkedin.com/company/aid-&-assist-at-home-inc.,Bristol,US,180,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Aiken Staffing Associates,https://www.aikenstaffing.com,https://www.linkedin.com/company/aiken-staffing-associates,Aiken,US,21,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Ajulia Executive Search,https://ajuliaexecutivesearch.com,https://www.linkedin.com/company/ajuliaexecutivesearch,New York City,US,211,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Alderson Convalescent Hospital,https://www.achwoodland.com,https://www.linkedin.com/company/alderson-convalescent-hospital,Woodland,US,24,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Alexander Consulting,https://www.alexconsult.com,https://www.linkedin.com/company/alexander-consulting,Tampa,US,39,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Alignstaffing,https://www.alignstaffing.com,https://www.linkedin.com/company/alignstaffing,,US,103,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Alkar Human Resources,https://www.1alkar.com,https://www.linkedin.com/company/alkar-human-resources,Napa,US,85,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
All American Cleaners,https://allamericancleaners.net,https://www.linkedin.com/company/all-american-cleaners,Northridge,US,25,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
All In One Employment Services,https://www.allinoneemployment.com,https://www.linkedin.com/company/all-in-one-employment-services,Miami,US,44,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"All-Pro Placement Svc, Inc",https://www.allproplacement.com,https://www.linkedin.com/company/all-pro-placement-svc-inc-,Cockeysville,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
All Staffing Inc,https://www.allstaffinginc.com,https://www.linkedin.com/company/all-staffing-inc,Owings Mills,US,39,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
All Star Consulting,https://ww.all-stars.com,https://www.linkedin.com/company/all-star-consulting,San Francisco,US,63,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
All-Star Personnel,https://www.all-starpersonnel.com,https://www.linkedin.com/company/all-star-personnel,Franklin,US,49,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"All Tex Staffing & Personnel, Inc",https://alltexpersonnel.com,https://www.linkedin.com/company/all-tex-staffing-personnel-inc,Houston,US,38,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"All1staffing, Llc",https://www.all1staffing.com,https://www.linkedin.com/company/all1staffing-llc,Elmhurst,US,17,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Allegiance Staffing, Llc",https://www.allegiancestaffing.com,https://www.linkedin.com/company/allegiancestaffing,Hickory,US,14,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Alliance For Strategic Growth, Inc",https://asgcorp.org,https://www.linkedin.com/company/alliance-for-strategic-growth-inc,Muncie,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Alliance Personnel Inc,https://www.aphawaii.com,https://www.linkedin.com/company/alliance-personnel-inc,Honolulu,US,25,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Alliance Professional Services, Llc",https://www.allianceprofessionalservices.com,https://www.linkedin.com/company/alliance-professional-services,Collierville,US,11,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Alliance Services, Inc.",https://www.asi-wi.com,https://www.linkedin.com/company/alliance-services-inc.,West Bend,US,27,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Alliance Electrical Staffing,https://www.allianceelectricalstaffing.com,https://www.linkedin.com/company/allianceelectricalstaffing,Manassas,US,21,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
AllStar Staffing Group,https://www.allstarstaffinggroup.com,https://www.linkedin.com/company/allstar-staffing-group,Trevose,US,31,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
AllStates Consulting Services,https://www.allstatesconsulting.net,https://www.linkedin.com/company/allstates-consulting-services,Addison,US,35,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Alpha Consulting Corp.,https://www.alphaconsulting.com,https://www.linkedin.com/company/alphaconsultingcorp,East Brunswick,US,161,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Alternative Staffing, Inc",https://www.alternativestaffing.com,https://www.linkedin.com/company/alternative-staffing-inc-,North Charleston,US,93,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Altos Federal Group,https://www.altosgroup.com,https://www.linkedin.com/company/altos-federal-group,Reston,US,25,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
