company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
"Cancer Carepoint, Inc",https://www.cancercarepoint.com,https://www.linkedin.com/company/cancer-carepoint-inc-,Atlanta,US,25,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Capstone Search Group,https://www.csgrecruiting.com,https://www.linkedin.com/company/capstone-search-group_2,Urbandale,US,19,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Cardea Group,https://www.thecardeagroup.com,https://www.linkedin.com/company/cardea-group,New York,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Career Resources,https://www.career-resources.com,https://www.linkedin.com/company/career-resources,Redwood City,US,36,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Cavalier Workforce Inc,https://cavalierworkforce.com,https://www.linkedin.com/company/cavalier-workforce-inc,Edison,US,32,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Centerforce,https://www.centerforce.net,https://www.linkedin.com/company/centerforcelakewood,Lakewood,US,14,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Cfc Consult Limited,https://www.cfcconsult.co.uk,https://www.linkedin.com/company/chef-for-chefs,Aldershot,GB,11,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Chirpish,https://chirpish.co,https://www.linkedin.com/company/chirpish,Miami,US,25,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Choice One Recruiting,https://www.choice1recruiting.com,https://www.linkedin.com/company/choice-one-recruiting,Nashville,US,23,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
CIB Group Services LLC,https://www.thecibgroup.com,https://www.linkedin.com/company/cibgroupservicesllc,Little Silver,US,16,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
City & National Employment,https://www.citynatl.com,https://www.linkedin.com/company/city-&-national-employment,Waterloo,US,23,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Clear Investigative Advantage, Llc",https://ciaresearch.com,https://www.linkedin.com/company/clear-investigative-advantage-llc,Frisco,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
ClientMind Recruiting Inc.,https://www.clientmindrecruiting.com,https://www.linkedin.com/company/clientmind-recruiting,New Market,US,15,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Cns Search Group,https://www.cnssearchgroup.com,https://www.linkedin.com/company/cns-search-group,Ormond Beach,US,13,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Communiqué USA, Inc.",https://www.communique-usa.com,https://www.linkedin.com/company/communiqu%c3%a9-usa-inc-,Atlanta,US,15,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Community Health Connection,https://communityhealthconnection.org,https://www.linkedin.com/company/community-health-connection,Ansonia,US,12,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Connections Of New York,https://www.connectionsny.com,https://www.linkedin.com/company/connections-of-new-york,,US,30,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Construction Mechanics Inc,https://www.constructionmechanics.com,https://www.linkedin.com/company/construction-mechanics,Akron,US,26,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Critical Health Connection, Llc",https://www.chcmedstaff.com,https://www.linkedin.com/company/criticalhealthconnection,San Angelo,US,22,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Cross Country Workforce Solutions Group,https://crosscountry.com/wsg,https://www.linkedin.com/company/cross-country-workforce-solutions-group,Aliso Viejo,US,158,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Ctrust Staffing Llc,https://www.ctruststaffing.com,https://www.linkedin.com/company/ctrust-staffing-llc,Visalia,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Data Bridge Consultants,https://www.databridgeconsultants.com,https://www.linkedin.com/company/data-bridge-consultants,Charlotte,US,24,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Dekra Event & Logistic Services Gmbh,https://www.dekra-els.de,https://www.linkedin.com/company/dekra-event-logistic-services-gmbh,Düsseldorf,DE,13,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Delmet Services, Llc",https://www.delmetservices.com,https://www.linkedin.com/company/delmet-services-llc,Houston,US,13,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Digerati Search, Inc",https://www.digeratisearch.com,https://www.linkedin.com/company/digerati-search-inc.,Lagrange,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Directed Educational Services,https://www.crosscountryeducation.com,https://www.linkedin.com/company/direct-ed-educational-services,Woodland Hills,US,76,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
DKMRBH Inc,https://www.dkmrbh.com,https://www.linkedin.com/company/dkmrbhinc,Wilmington,US,21,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
East End Resources,https://www.eastendresources.com,https://www.linkedin.com/company/east-end-resources,New York,US,13,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
ECA Recruiters,https://www.ecarecruiters.com,https://www.linkedin.com/company/eca-recruiters,Plymouth Meeting,US,75,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Edp Recruiting Services, Inc",https://edp-recruiting.com,https://www.linkedin.com/company/edp-recruiting-services-inc.,Englewood,US,16,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Elite Staffing Partners,https://www.elitestaffingpartners.com,https://www.linkedin.com/company/elite-staffing-partners-inc,Tampa,US,30,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Emergent365,https://www.emergent365.com,https://www.linkedin.com/company/emergent365,Caldwell,US,21,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Employee Solutions,https://www.employeesolutions.com,https://www.linkedin.com/company/employeesolutions,Frisco,US,156,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Employment Practices Group, Llc",https://www.employmentpracticesgroup.com,https://www.linkedin.com/company/epgnyldn-llc,New York,US,18,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Essential Solutions, Inc",https://www.esiweb.com,https://www.linkedin.com/company/essential-solutions-inc-,Cupertino,US,14,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Essyca,https://essyca.com,https://www.linkedin.com/company/essyca,,FR,25,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Etech Hi, Inc",https://www.etechhi.com,https://www.linkedin.com/company/etech-hi-inc,Temecula,US,17,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Eureka Infotech Inc,https://www.eurekainfotech.com,https://www.linkedin.com/company/eureka-infotech-inc,Hicksville,US,84,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Express Employment Professionals - Corning, Ny",https://www.expresspros.com/corningny,https://www.linkedin.com/company/express-employment-professionals-corning-ny,Corning,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Express Employment Professionals - Red Bluff, Ca",https://www.expresspros.com/redbluff,https://www.linkedin.com/company/expressredbluffca,Red Bluff,US,17,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Fern Valley,https://www.fern-valley.com,https://www.linkedin.com/company/fern-valley,Kontich,BE,22,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
